Timestamp,Values
2024-06-26 09:36:30,99
2024-06-26 09:36:47,99
2024-06-26 09:37:04,99
2024-06-26 09:37:20,99
2024-06-26 09:37:35,99
2024-06-26 09:37:52,99
2024-06-26 09:38:08,99
2024-06-26 09:38:24,99
2024-06-26 09:38:26,99
2024-06-26 09:38:43,99
2024-06-26 09:38:58,99
2024-06-26 09:39:15,99
2024-06-26 09:39:32,99
2024-06-26 09:39:48,99
2024-06-26 09:40:06,99
2024-06-26 09:40:21,99
2024-06-26 09:40:36,99
2024-06-26 09:40:53,99
2024-06-26 09:41:09,99
2024-06-26 09:41:11,99
2024-06-26 09:41:27,99
2024-06-26 09:41:44,99
2024-06-26 09:42:01,99
2024-06-26 09:42:16,99
2024-06-26 09:42:33,98
2024-06-26 09:42:50,98
2024-06-26 09:43:06,98
2024-06-26 09:43:22,98
2024-06-26 09:43:38,98
2024-06-26 09:43:39,98
2024-06-26 09:43:56,98
2024-06-26 09:44:11,98
2024-06-26 09:44:29,98
2024-06-26 09:44:45,98
2024-06-26 09:45:01,98
2024-06-26 09:45:19,98
2024-06-26 09:45:34,98
2024-06-26 09:45:51,98
2024-06-26 09:46:07,98
2024-06-26 09:46:22,98
2024-06-26 09:46:39,98
2024-06-26 09:46:40,98
2024-06-26 09:46:58,98
2024-06-26 09:47:14,98
2024-06-26 09:47:29,98
2024-06-26 09:47:46,98
2024-06-26 09:48:03,98
2024-06-26 09:48:19,98
2024-06-26 09:48:37,98
2024-06-26 09:48:51,98
2024-06-26 09:49:07,98
2024-06-26 09:49:24,98
2024-06-26 09:49:25,98
2024-06-26 09:49:42,98
2024-06-26 09:49:58,98
2024-06-26 09:50:16,98
2024-06-26 09:50:31,98
2024-06-26 09:50:47,98
2024-06-26 09:51:04,98
2024-06-26 09:51:21,98
2024-06-26 09:51:37,98
2024-06-26 09:51:52,98
2024-06-26 09:52:09,98
2024-06-26 09:52:10,98
2024-06-26 09:52:28,98
2024-06-26 09:52:43,98
2024-06-26 09:52:59,98
2024-06-26 09:53:16,98
2024-06-26 09:53:33,98
2024-06-26 09:53:49,98
2024-06-26 09:54:07,98
2024-06-26 09:54:21,98
2024-06-26 09:54:37,98
2024-06-26 09:54:54,98
2024-06-26 09:54:55,98
2024-06-26 09:55:11,98
2024-06-26 09:55:29,98
2024-06-26 09:55:44,98
2024-06-26 09:56:00,98
2024-06-26 09:56:18,98
2024-06-26 09:56:34,98
2024-06-26 09:56:50,98
2024-06-26 09:57:07,98
2024-06-26 09:57:22,98
2024-06-26 09:57:38,97
2024-06-26 09:57:40,98
2024-06-26 09:57:56,98
2024-06-26 09:58:12,98
2024-06-26 09:58:30,98
2024-06-26 09:58:47,97
2024-06-26 09:59:02,97
2024-06-26 09:59:18,97
